PS,Stat,r,p,star
PPF,median,-0.5214486638537272,7.063644205134793e-7,***
PPi,median,-0.5220112517580872,6.838110737507199e-7,***
PImd,median,-0.5220112517580872,6.838110737507199e-7,***
PILSM,median,-0.5220112517580872,6.838110737507199e-7,***
RTR,median,0.057126113455227376,0.6147384576510995,
PIR,median,-0.49615564932020634,2.8657235153592637e-6,***
RDPI,median,-0.5229020159399906,6.494874785665234e-7,***
ESPI,median,0.0647444913267698,0.5682861071062797,
ESPIID,median,0.013924050632911392,0.9024346809779327,
PSI,median,-0.12315986872948899,0.2764238409401055,
RPI,median,-0.5229020159399906,6.494874785665234e-7,***
PQ,median,0.0647444913267698,0.5682861071062797,
PR,median,0.0647444913267698,0.5682861071062797,
NRW,median,0.0647444913267698,0.5682861071062797,
ESP,median,-0.5352086263478668,3.1401137847307273e-7,***
CEV,median,-0.5383263009845288,2.600051647213526e-7,***
PFI,median,-0.5514767932489452,1.1481397539236093e-7,***
APC,median,-0.04976558837318331,0.661108469505408,
SI,median,-0.27613689639006095,0.013160967904996613,*
RSI,median,0.5383263009845288,2.600051647213526e-7,***
...1,slope,-0.04831223628691983,0.670424458404133,
CV_t,slope,-0.019596812001875293,0.86301528155782,
RN,slope,1,-0,***
RNN,slope,-0.033239568682606656,0.7697472600614635,
D_slope,slope,0.09022503516174403,0.42607765295707956,
RC,slope,-0.0249648382559775,0.8260173815795037,
gPi,slope,-0.019596812001875293,0.86301528155782,
PPF,slope,0.14849976558837316,0.18863755722377418,
PPi,slope,-0.023089545241443975,0.8389037277557906,
PImd,slope,-0.023089545241443975,0.8389037277557906,
PILSM,slope,-0.023089545241443975,0.8389037277557906,
RTR,slope,0.9352320675105485,6.433350131709004e-37,***
PIR,slope,0.12203469292076886,0.28086901324074043,
RDPI,slope,-0.024777308954524145,0.8273040095223821,
ESPI,slope,0.08370839193624004,0.46037829348913734,
ESPIID,slope,0.05269573370839194,0.6424831313559217,
PSI,slope,-0.05478199718706048,0.6293541230009961,
RPI,slope,-0.024777308954524145,0.8273040095223821,
PQ,slope,0.08370839193624004,0.46037829348913734,
PR,slope,0.08370839193624004,0.46037829348913734,
NRW,slope,0.08370839193624004,0.46037829348913734,
ESP,slope,-0.028785747773089544,0.7999066576222446,
CEV,slope,-0.019596812001875293,0.86301528155782,
PFI,slope,-0.0220112517580872,0.8463328332896112,
APC,slope,0.024566338490389122,0.828752009313357,
SI,slope,0.02226910454758556,0.8445550634395046,
RSI,slope,0.019596812001875293,0.86301528155782,
...1,range,0.5315986872948898,3.897861112679275e-7,***
CV_t,range,0.7617440225035161,2.319131400771975e-16,***
RN,range,0.08370839193624004,0.46037829348913734,
RNN,range,0.7750351617440225,3.259741751042889e-17,***
D_slope,range,0.9816690107829349,6.468373983261077e-58,***
RC,range,0.7483122362869199,1.4859775906009948e-15,***
